Searchable Tobacco Products Database data as of 08/05/2026

"Company","Product Name","Category","Sub-Category","Submission Type - Marketing Authority","Date of Action","Order Letter","Decision Summary","Environmental Assessment","FONSI","STN","Associated MRTP","Additional Information","Additional Information Link"
"22nd Century Group Inc.","Moonlight®","Cigarette","Filtered","PMTA - Marketing Granted Order","12/17/2019","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_MGO-PM0000491-492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_TPLRev-PM0000491492_0.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_EnvAsm-PM0000491492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_FONSI-PM0000491-492.pdf","PM0000491","MR0000159","The modified risk granted order for this product reflects a change in the product name to VLN King. Contact the manufacturer with questions.",""
"22nd Century Group Inc.","Moonlight® Menthol","Cigarette","Filtered","PMTA - Marketing Granted Order","12/17/2019","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_MGO-PM0000491-492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_TPLRev-PM0000491492_0.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_EnvAsm-PM0000491492.pdf","https://www.accessdata.fda.gov/static/searchtobacco/2019/22ndCentry_FONSI-PM0000491-492.pdf","PM0000492","MR0000160","The modified risk granted order for this product reflects a change in the product name to VLN King. Contact the manufacturer with questions.",""
"A. Fuente & Co., LLC","Arturo Fuente Cubanitos","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/05/2020","N/A","N/A","N/A","N/A","GF2010665","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010974","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010975","","",""
"A. Fuente & Co., LLC","Arturo Fuente Exquisitos Sun Grown","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010981","","",""
"A. Fuente & Co., LLC","Arturo Fuente Petit Corona Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/26/2021","N/A","N/A","N/A","N/A","GF2010983","","",""
"A. Fuente & Co., LLC","Arturo Fuente Petit Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010984","","",""
"A. Fuente & Co., LLC","Bauza Petit Corona","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010985","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Perfecxion No.5","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010986","","",""
"A. Fuente & Co., LLC","Montesino Diplomatico Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010987","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Boy","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010988","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Girl","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010989","","",""
"A. Fuente & Co., LLC","Arturo Fuente Brevas Royale Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010990","","",""
"A. Fuente & Co., LLC","Don Carlos No. 3","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010991","","",""
"A. Fuente & Co., LLC","Montesino No. 2 Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010992","","",""
"A. Fuente & Co., LLC","Arturo Fuente Cuban Corona Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010993","","",""
"A. Fuente & Co., LLC","Arturo Fuente Cuban Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2010994","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Fuente Fuente","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010996","","",""
"A. Fuente & Co., LLC","Casa Fuente Corona Gorda Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2010999","","",""
"A. Fuente & Co., LLC","Hemingway Signature I Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/18/2021","N/A","N/A","N/A","N/A","GF2011002","","",""
"A. Fuente & Co., LLC","Hemingway Signature I Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","05/27/2021","N/A","N/A","N/A","N/A","GF2011005","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011010","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011014","","",""
"A. Fuente & Co., LLC","Arturo Fuente Corona Imperial Seleccion D'Oro Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","08/20/2021","N/A","N/A","N/A","N/A","GF2011020","","",""
"A. Fuente & Co., LLC","Hemingway Classic V Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","12/01/2020","N/A","N/A","N/A","N/A","GF2011025","","",""
"A. Fuente & Co., LLC","Hemingway Classic V Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011028","","",""
"A. Fuente & Co., LLC","Montesino Napoleon Grande Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","12/03/2020","N/A","N/A","N/A","N/A","GF2011030","","",""
"A. Fuente & Co., LLC","Montesino Napoleon Grande Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","11/19/2020","N/A","N/A","N/A","N/A","GF2011032","","",""
"A. Fuente & Co., LLC","Fuente Fuente OpusX Perfecxion A","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","09/29/2020","N/A","N/A","N/A","N/A","GF2011035","","",""
"A. Fuente & Co., LLC","Montesino Gran Corona Natural","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011037","","",""
"A. Fuente & Co., LLC","Arturo Fuente Churchill Maduro","Cigar","","PTP Determination Req - Established Pre-Existing Tobacco Product","10/13/2020","N/A","N/A","N/A","N/A","GF2011038","","",""
